약국,경도,위도
호약국,126.9374158,37.4758481
국민약국,126.4749192,35.6294176
준약국,127.1058272,37.1676291
희망약국,127.2830552,35.6180416
바른약국,127.0693544,37.7512937
새천년건강한약국,126.9384049,35.943542
복조리약국,127.1428397,37.5371204
송화약국,126.8360328,37.5481315
신림4번출구약국,126.928953,37.4839457
다온약국,127.029179,37.6194786
해든약국,127.1170072,37.5103274
성일약국,127.0272414,37.5262658
도곡약국,127.0433537,37.4820433
재창약국,128.1068479,36.1262745
가람약국,126.8591391,37.4962479
안암지하철약국,127.029193,37.5864713
나무약국,127.0216578,37.5111988
성경약국,129.1137472,35.2227406
더건강약국,127.1075191,35.7989524
다온약국,127.0353644,37.6587139
튼튼별약국,126.9455248,37.227509
조은약국,128.9984449,35.1021127
참조은약국,129.2170494,35.247926
중앙약국,128.9830894,35.1561819
장산약국,129.1750479,35.1776265
큰사랑약국,128.9767296,35.0740452
유진약국,126.7021254,37.4545557
조이약국,126.9251023,35.1722277
유일약국,127.0517867,35.9905597
연지약국,126.8539063,35.565839
대명약국,126.7207867,35.9800278
고척햇살약국,126.8581742,37.5063449
신세화약국,128.9933659,35.0990237
건강한약국,129.0499132,35.1581297
부원약국,129.1196159,35.2027865
은하약국,129.1019679,35.2046013
지사 온누리 약국,128.8382549,35.1499834
은행약국,129.0670897,35.1596519
송정약국,129.203961,35.1825649
동원약국,129.0744422,35.1720184
세일약국,129.0364403,35.213953
대영약국,129.2162786,35.2434227
구포큰약국,129.0049735,35.2109738
우리약국,129.1133756,35.1569388
신용호대형약국,129.1122342,35.1193884
대연약국,129.0927843,35.1353715
참약사드림약국,128.9927362,35.0996979
건강약국,129.1123661,35.1206436
화목2층약국,129.177663,35.1709808
휴플러스약국,129.0853266,35.22846
로뎀약국,128.9861872,35.1556512
안락고려약국,129.0980685,35.1952763
굿모닝약국,129.0975764,35.198561
동부약국,129.1279705,35.1917989
바른약국,128.9931203,35.0997096
행복한약국,129.1619558,35.1622657
건강약국,129.0741732,35.1719281
부산탑약국,128.9967402,35.1988433
동의약국,129.1126448,35.1337125
향기약국,129.0167917,35.109508
뉴욕약국,129.0200402,35.1460101
뉴이메디약국,129.0809947,35.1866707
행복한약국,128.97286,35.0922839
구명약국,129.0709519,35.0783879
센텀드림약국,129.132947,35.1669544
온누리우당약국,129.1111667,35.1132329
스타약국,129.0773947,35.2043683
서면동산약국,129.0580189,35.1579975
박하약국,128.9695128,35.1048195
매곡365약국,126.8815713,37.1128729
담담약국,128.1127369,35.2087219
청라바다약국,126.6516263,37.5333897
건강약국,127.1072679,37.1670009
대신약국,128.1176873,36.1350712
광양밝은약국,127.5888955,34.9710099
하늘약국,126.5329514,37.4926109
편한약국,126.7220068,35.9650224
제일종합약국,126.8860168,35.6882059
스마일온누리약국,126.811426,37.4856217
명동스타약국,126.982883,37.564678
보룡약국,127.0616737,37.65174
온누리대광약국,126.8972201,37.492652
2층약국,127.0544858,37.4824625
건강플러스약국,127.0617128,37.6577232
우주약국,127.0849144,36.7874907
파크약국,127.0376648,37.5217443
온누리약국,127.0635679,37.6577059
육층安약국,127.0511613,37.2450583
온누리한라약국,126.8744137,37.4957554
방이프라자약국,127.1181993,37.5097991
뉴월드약국,127.0904962,37.5898637
수약국,127.0614531,37.6541852
명심약국,127.0453158,37.4785782
금강약국,126.9521826,37.5122101
이지약국,127.039592,37.4870246
서초21세기약국,127.0035627,37.508788
굿모닝약국,126.9041309,37.4795977
세계로약국,127.0679117,37.6579256
경희우리약국,127.0524048,37.593526
온누리선약국,126.9658718,37.566156
복지약국,127.0481023,37.5705488
새원약국,127.1436556,37.5459217
정일약국,127.0604734,37.4983512
건강한약국,126.9044894,37.4797007
글로리아약국,126.9690288,37.6068376
기림약국,126.9188497,37.5936246
화곡메디칼약국,126.837821,37.5345299
용산약국,126.9676597,37.5279871
메디칼약국,126.9107241,37.555992
아카데미약국,126.9476643,37.5403379
오렌지약국,127.1045709,37.6007883
참약국,127.0834812,37.485765
정성온누리약국,127.0335644,37.4898384
열린약국,126.849844,37.5026542
인제약국,127.0766509,37.593757
길동중앙약국,127.1427367,37.5364433
메디칼세영약국,126.9046161,37.5617905
오렌지약국,127.012925,37.6199404
메디슨약국,127.0284807,37.6574763
다온약국,127.0476984,37.5037151
온누리학마을약국,126.8443952,37.5080816
고속터미널약국,127.0058468,37.50568
메디칼바른약국,126.8869066,37.5014993
홈타운약국,127.0747898,37.5694827
화인약국,127.1428417,37.5465634
영등포제일약국,126.9046186,37.5209455
참사랑약국,127.0879461,37.555756
도봉월드약국,127.047079,37.6680424
참바로약국,127.0471661,37.6261806
서울약국,126.9432367,37.589967
푸른온누리약국,126.9679122,37.5674431
무지개약국,127.0655694,37.5359179
태평양약국,126.9200222,37.6200404
중앙프라자약국,126.9387617,37.5042942
중앙종로약국,127.0528571,37.5639387
기린약국,127.00985,37.5419333
애플약국,126.871957,37.5506388
미래팜약국,127.0626968,37.6544635
보람온누리약국,127.0882004,37.6169334
나은약국,127.1441118,37.5500479
메디칼갑산약국,127.0666048,37.5917173
상계동문약국,127.0623148,37.6494038
김약국,126.9042973,37.495561
